reporter	class	count
AASA_2	chimeric	41
AASA_3	full_length	260
AASA_3	ambiguous	57
AASA_3	chimeric	14
AASA_4	full_length	2287
AASA_4	chimeric	164
AASA_4	ambiguous	10
AASA_5	full_length	126
AASA_5	chimeric	7
AASA_6	full_length	357
AASA_6	chimeric	25
AASA_6	ambiguous	2
AASA_7	full_length	171
AASA_7	ambiguous	82
AASA_7	chimeric	17
AASA_8	full_length	981
AASA_8	chimeric	47
AASA_8	ambiguous	28
AASA_9	full_length	585
AASA_9	chimeric	107
AASA_9	ambiguous	2
AASB_1	full_length	261
AASB_1	ambiguous	8
AASB_1	chimeric	2
AASB_10	full_length	335
AASB_10	ambiguous	2
AASB_2	full_length	88
AASB_2	chimeric	1
AASB_3	full_length	634
AASB_3	ambiguous	66
AASB_3	chimeric	5
AASB_4	full_length	888
AASB_4	chimeric	4
AASB_4	ambiguous	3
AASB_5	full_length	380
AASB_5	ambiguous	1
AASB_6	ambiguous	49
AASB_6	full_length	26
AASB_6	chimeric	15
AASB_7	full_length	1026
AASB_7	chimeric	182
AASB_7	ambiguous	3
AASB_8	full_length	900
AASB_8	ambiguous	12
AASB_8	chimeric	6
AASB_9	full_length	366
AASB_9	chimeric	197
AASB_9	ambiguous	7
AASL_1	full_length	407
AASL_1	ambiguous	58
AASL_10	full_length	356
AASL_2	full_length	421
AASL_2	chimeric	121
AASL_2	ambiguous	96
AASL_3	full_length	99
AASL_4	full_length	371
AASL_4	ambiguous	92
AASL_4	chimeric	63
AASL_5	full_length	918
AASL_5	chimeric	15
AASL_5	ambiguous	1
AASL_6	full_length	122
AASL_6	ambiguous	1
AASL_6	chimeric	1
AASL_7	full_length	263
AASL_7	chimeric	14
AASL_7	ambiguous	1
AASL_8	full_length	83
AASL_8	ambiguous	7
AASL_9	full_length	179
AASL_9	chimeric	37
AASS_1	full_length	81
AASS_1	chimeric	56
AASS_1	ambiguous	1
AASS_10	full_length	324
AASS_10	ambiguous	34
AASS_10	chimeric	7
AASS_2	chimeric	70
AASS_2	full_length	24
AASS_3	full_length	135
AASS_4	full_length	52
AASS_4	ambiguous	1
AASS_4	chimeric	1
AASS_5	full_length	426
AASS_5	ambiguous	16
AASS_5	chimeric	13
AASS_6	full_length	45
AASS_6	ambiguous	7
AASS_7	full_length	358
AASS_7	chimeric	10
AASS_7	ambiguous	1
AASS_8	full_length	256
AASS_8	chimeric	45
AASS_8	ambiguous	21
AASS_9	full_length	125
AASS_9	ambiguous	2
AASp_1	ambiguous	37
AASp_1	full_length	12
AASp_1	chimeric	4
AASp_10	full_length	231
AASp_10	chimeric	2
AASp_2	full_length	393
AASp_2	chimeric	5
AASp_2	ambiguous	3
AASp_3	full_length	556
AASp_3	chimeric	187
AASp_3	ambiguous	2
AASp_4	full_length	491
AASp_4	chimeric	28
AASp_4	ambiguous	12
AASp_5	full_length	112
AASp_6	full_length	234
AASp_6	chimeric	28
AASp_7	full_length	1022
AASp_7	ambiguous	2
AASp_7	chimeric	2
AASp_8	full_length	426
AASp_8	chimeric	67
AASp_8	ambiguous	7
AASp_9	full_length	67
AASp_9	chimeric	2
AApA_1	full_length	1375
AApA_1	chimeric	164
AApA_1	cannot_find_barcode	131
AApA_1	ambiguous	30
AApA_10	full_length	177
AApA_10	chimeric	11
AApA_2	full_length	594
AApA_2	chimeric	32
AApA_3	full_length	155
AApA_3	ambiguous	15
AApA_3	chimeric	7
AApA_4	full_length	146
AApA_4	chimeric	4
AApA_5	full_length	864
AApA_5	ambiguous	85
AApA_5	chimeric	76
AApA_5	RT_error	3
AApA_6	full_length	27
AApA_6	chimeric	2
AApA_6	ambiguous	1
AApA_7	full_length	316
AApA_7	ambiguous	32
AApA_7	chimeric	19
AApA_8	full_length	1410
AApA_8	chimeric	69
AApA_8	ambiguous	1
AApA_9	full_length	2001
AApA_9	chimeric	196
AApA_9	ambiguous	29
AApB_1	full_length	355
AApB_1	chimeric	18
AApB_10	full_length	569
AApB_10	chimeric	3
AApB_10	ambiguous	1
AApB_2	full_length	42
AApB_3	full_length	52
AApB_3	chimeric	3
AApB_4	full_length	281
AApB_4	ambiguous	2
AApB_5	full_length	795
AApB_5	chimeric	140
AApB_5	ambiguous	15
AApB_6	full_length	442
AApB_6	ambiguous	77
AApB_6	chimeric	10
AApB_7	full_length	137
AApB_7	chimeric	133
AApB_7	ambiguous	1
AApB_8	full_length	259
AApB_8	chimeric	44
AApB_8	ambiguous	41
AApB_9	full_length	265
AApB_9	chimeric	69
AApB_9	ambiguous	38
AApL_1	full_length	150
AApL_1	ambiguous	55
AApL_1	chimeric	15
